year,state,index,final co2 (kg),generation (mwh)
2001,AK,621.6168559,4192038618,6743766
2001,AL,623.7594835,78185202966,125345113
2001,AR,596.1427445,28133189858,47192036
2001,AZ,531.014382,47744178539,89911272
2001,CA,312.7953976,62119937297,198596072
2001,CO,919.0152354,43079760934,46876003
2001,CT,361.2647459,11015195119,30490645
2001,DE,880.0288776,5990959390,6807685
2001,FL,662.7588997,1.27E+11,190945343
2001,GA,624.7144512,73914207316,118316788.1
2001,HI,779.4505403,8287969304,10633092
2001,IA,926.3105439,37662408366,40658512
2001,ID,41.22408584,385319139.4,9346942
2001,IL,530.7954132,95144696715,179249282
2001,IN,1003.98569,1.23E+11,122569670
2001,KS,818.1976415,36613135162,44748522
2001,KY,977.3635543,93257709111,95417625
2001,LA,583.8309055,51315454894,87894379.03
2001,MA,616.6244899,23726742887,38478431
2001,MD,638.7880595,31340438239,49062342
2001,ME,317.8688169,6219046504,19564821
2001,MI,664.4042835,74310703706,111845612
2001,MN,744.2897254,36115336321,48523223
2001,MO,884.2899748,70340732865,79544872.01
2001,MS,454.5223261,24292603865,53446448
2001,MT,797.8866978,19334779032,24232487
2001,NC,590.7398731,69409484109,117495851
2001,ND,1111.411905,33711425927,30332072
2001,NE,718.8167534,21913281836,30485213
2001,NH,307.3867661,4633739922,15074624
2001,NJ,276.6544338,16439155039,59421260
2001,NM,975.6998692,32794875678,33611643
2001,NV,673.6931492,22822006218,33875966
2001,NY,409.5422587,58939092325,143914556
2001,OH,833.3459808,1.19E+11,142261809
2001,OK,806.3369415,44549674952,55249453
2001,OR,208.2155349,9380506705,45051906
2001,PA,533.2703838,1.05E+11,196576590
2001,RI,451.1005211,3384107390,7501892
2001,SC,405.1928275,36126583251,89158990
2001,SD,566.832747,4194983485,7400743
2001,TN,602.5630279,57979805210,96221976
2001,TX,635.1478981,2.37E+11,372580005
2001,UT,948.9765983,34024369712,35853750
2001,VA,577.7600695,42814764357,74104748
2001,VT,8.743735521,47921039.31,5480614
2001,WA,173.6335618,14420036378,83048670
2001,WI,805.8077058,47352027936,58763434
2001,WV,923.4031252,75568287618,81836725
2001,WY,1068.688317,47852590491,44776938
2002,AK,565.8667312,3829402379,6767322
2002,AL,608.8982795,80935170323,132920675
2002,AR,561.3927364,26728829424,47611641
2002,AZ,508.8592696,47899769281,94131663
2002,CA,256.8376244,47312068030,184210036
2002,CO,920.787902,41988285596,45600388
2002,CT,320.3419249,10030296164,31311219
2002,DE,979.1456818,5877312164,6002490
2002,FL,632.369588,1.29E+11,203352778
2002,GA,629.7611591,79672479164,126512215
2002,HI,780.9584866,9108375839,11663073
2002,IA,899.6404289,38260255423,42528386
2002,ID,43.6637949,427334591.5,9786932
2002,IL,498.5021198,93745543961,188054454
2002,IN,972.38672,1.22E+11,125608144
2002,KS,872.2770365,41161396961,47188445
2002,KY,966.9839403,89065668754,92106668
2002,LA,534.9535171,50805050675,94970963
2002,MA,570.1636248,23962736475,42027824
2002,MD,686.4800749,33142629885,48279085
2002,ME,304.2009616,6855179621,22535036
2002,MI,626.5273676,73860739976,117889088
2002,MN,739.910068,39050946931,52777964
2002,MO,857.3500117,69584409687,81162196
2002,MS,541.2995316,23215693304,42888811
2002,MT,672.8050401,17138837788,25473706
2002,NC,572.5438056,71263397862,124468027
2002,ND,1080.566851,33828556499,31306306
2002,NE,675.820731,21368430349,31618489
2002,NH,302.7781739,4830242916,15953075
2002,NJ,319.9945455,19701867690,61569386
2002,NM,989.4083907,30336949189,30661706
2002,NV,710.3869549,22795562952,32088938
2002,NY,395.1085974,55153875267,139591686
2002,OH,845.0752974,1.24E+11,147068847
2002,OK,805.0268337,47644241208,59183420
2002,OR,147.2030563,6933170917,47099368
2002,PA,546.9805883,1.12E+11,204322877
2002,RI,442.8084027,3124794395,7056764
2002,SC,401.4212787,38762643241,96563499
2002,SD,467.3394574,3608775661,7721958
2002,TN,626.9830509,60262014478,96114264
2002,TX,634.5438381,2.45E+11,385628540
2002,UT,956.4885161,35015135423,36608004
2002,VA,564.5324812,42343126826,75005652
2002,VT,2.627367846,14335420.8,5456191
2002,WA,113.2744899,11640658388,102765048
2002,WI,778.4256827,45484531258,58431437.03
2002,WV,910.4034845,86271429220,94761752
2002,WY,1036.811269,45395577691,43783839
2003,AK,548.1712638,3474714020,6338738
2003,AL,607.3557484,83503657651,137487227
