fuel category,year,total fuel (mmbtu),generation (mwh),elec fuel (mmbtu),elec fuel fossil co2 (kg),adjusted co2 (kg),adjusted index (g/kwh),adjusted index (lb/mwh),quarter
Coal,2001,20232291000.0,1903955939.0,19789448000.0,1897174835214.75,1920397990157.4402,1008.6357309119643,2223.638332368517,30
Coal,2002,20417972000.0,1933130346.0,19996899000.0,1911224271651.0,1954001119569.3057,1010.7963612554586,2228.401658023784,30
Coal,2003,20783578000.0,1973736746.0,20366884000.0,1946206592370.75,1978540237093.1982,1002.4337040402845,2209.9653439272115,30
Coal,2004,20940247720.0,1978300549.21,20375750900.0,1945684419251.0774,1970093271495.2744,995.8513494231182,2195.4538849382066,30
Coal,2005,21350381920.0,2012873045.8600001,20801716130.0,1982396979478.0208,1999659912306.912,993.4356845901115,2190.12831024736,30
Coal,2006,21059971870.0,1990511134.62,20527410520.0,1955258813740.8074,1974312407821.8257,991.8620265335684,2186.659023695905,30
Coal,2007,21363588320.0,2016455583.9399998,20841871130.0,1985188249421.25,2003982085791.215,993.8141468385768,2190.9626681203267,30
Coal,2008,21051706480.0,1985801246.94,20548610230.0,1957255141362.0,1975110521635.5835,994.6164172668889,2192.731353506583,30
Coal,2009,18703284210.0,1755904253.1599996,18240610790.0,1737418202131.5,1753483307084.2004,998.6212539371425,2201.5604164298243,30
Coal,2010,19687246350.0,1847290278.7700002,19196315100.0,1828449027943.5,1852595314748.8914,1002.8717933720862,2210.9311556681014,30
Coal,2011,18554119840.0,1733430005.6900003,18074297660.0,1722282377056.5,1750397707282.8855,1009.7885126813246,2226.1797550572483,30
Coal,2012,16288063700.0,1514042944.94,15867140980.0,1511914168602.75,1539434322515.234,1016.7705795004646,2241.5724195667244,30
Coal,2013,16910576650.0,1581114716.0699997,16509468310.0,1572543485082.0,1601698623361.912,1013.0186045849194,2233.3008156679134,30
Coal,2014,16863554400.0,1581710349.9900002,16472004560.0,1569652729211.25,1596190068330.961,1009.1544689841932,2224.7819423225524,30
Coal,2015,14523705500.0,1352398197.05,14167211740.0,1354817756862.75,1381367912673.3616,1021.4209954483476,2251.824726565427,30
Coal,2016,13322281140.0,1239148654.6200001,12979911230.0,1236336572470.5,1266215166070.961,1021.8428284209864,2252.7546995369066,30
Coal,2017,12920796030.0,1207357339.53,12618129620.0,1217757828703.5,1164522630977.2305,964.5219297134979,2126.3850462463774,30
Coal,2018,5820251870.0,541702860.0800002,5677513900.0,547616150701.5,533200616552.44946,984.3045991555314,2169.9979192982846,9
Hydro,2001,0.0,216961052.0,0.0,0.0,0.0,0.0,0.0,30
Hydro,2002,0.0,264328824.0,0.0,0.0,0.0,0.0,0.0,30
Hydro,2003,0.0,275806324.0,0.0,0.0,0.0,0.0,0.0,30
Hydro,2004,0.0,268417308.39,0.0,0.0,0.0,0.0,0.0,30
Hydro,2005,0.0,270321255.21,0.0,0.0,0.0,0.0,0.0,30
Hydro,2006,0.0,289246415.94,0.0,0.0,0.0,0.0,0.0,30
Hydro,2007,0.0,247509974.67999998,0.0,0.0,0.0,0.0,0.0,30
Hydro,2008,0.0,254831385.42000002,0.0,0.0,0.0,0.0,0.0,30
Hydro,2009,0.0,273445094.52,0.0,0.0,0.0,0.0,0.0,30
Hydro,2010,0.0,260203069.54999998,0.0,0.0,0.0,0.0,0.0,30
Hydro,2011,0.0,319354903.74000007,0.0,0.0,0.0,0.0,0.0,30
Hydro,2012,0.0,276240219.54999995,0.0,0.0,0.0,0.0,0.0,30
Hydro,2013,0.0,268565382.98,0.0,0.0,0.0,0.0,0.0,30
Hydro,2014,0.0,259366622.14000002,0.0,0.0,0.0,0.0,0.0,30
Hydro,2015,0.0,249080084.99,0.0,0.0,0.0,0.0,0.0,30
Hydro,2016,0.0,267812153.30000004,0.0,0.0,0.0,0.0,0.0,30
Hydro,2017,0.0,299573418.7,0.0,0.0,0.0,0.0,0.0,30
Hydro,2018,0.0,162020599.59,0.0,0.0,0.0,0.0,0.0,9
Natural Gas,2001,6927718000.0,639129114.0,6001245000.0,325736969412.02997,329661916257.5504,515.7986219628706,1137.1296419793446,30
Natural Gas,2002,7135588000.0,691005755.0,6249574000.0,337135618808.49,344668922748.6003,498.7931290798009,1099.6393323693292,30
Natural Gas,2003,6498544000.0,649907546.0,5735760000.0,319455544614.4199,324757870450.66693,499.6985685878879,1101.6354643088578,30
Natural Gas,2004,6912660950.0,710100016.6600001,5827470480.0,315843594380.8917,319692381700.27045,450.20754006451597,992.527542826232,30
Natural Gas,2005,7220520280.0,760960254.3400002,6212116580.0,330527635591.05164,333367819292.6845,438.0883461276473,965.8095678730112,30
Natural Gas,2006,7612499910.0,816440769.6600001,6643925640.0,352696217097.2028,356077582120.61383,436.1340042694087,961.5010258123385,30
Natural Gas,2007,8181986810.0,896589791.48,7287714400.0,387140652345.0299,390889029656.9003,435.9730987028752,961.1462934003587,30
Natural Gas,2008,7900985720.0,882980599.3499999,7087191770.0,376125275443.82996,379727234894.8118,430.0516174130501,948.0917957488103,30
Natural Gas,2009,8138385370.0,920978680.9200001,7301522470.0,387491813934.60004,391301219114.9198,424.87543655628855,936.6803874319938,30
Natural Gas,2010,8693881940.0,987691101.31,7852569160.0,417245126587.61993,422950830737.8427,428.2217691106787,944.0577121814023,30
Natural Gas,2011,8912292140.0,1013617730.8,8051286080.0,429693524306.37,436767640122.0488,430.8997631457463,949.9616178311123,30
