year,generation (mwh),final co2 (kg),index (g/kwh),change since 2005,index (lb/mwh)
2001,3736520411.1499996,2353860029437.351,629.9604365637325,0.05146536909547494,1388.8107784484048
2002,3858190275.0499997,2373896173663.745,615.2874805100122,0.026974775310089055,1356.462779532373
2003,3883111089.4399996,2401070554168.9604,618.3368177898896,0.032064416440526086,1363.1853484995906
2004,3970518776.29,2384365918838.2847,600.5174772315784,0.0023222002477365153,1323.9008303047378
2005,4055196708.06,2429574538207.4727,599.1261862534352,0.0,1320.8335902143233
2006,4064620761.1899996,2380089380549.6943,585.5624719716471,-0.02263916115335761,1290.9310257086934
2007,4156669475.34,2444679009437.9155,588.134087625033,-0.01834688397971723,1296.6004095781477
2008,4119315445.660001,2390254324146.7637,580.2552282479534,-0.03149746821030999,1279.230676195438
2009,3950295430.1500006,2174215294433.9421,550.3930865118568,-0.0813402933467573,1213.3965985240397
2010,4124851633.6499996,2303207948255.988,558.3735253570622,-0.06802016308319772,1230.9902740021796
2011,4099904141.69,2210236694681.1216,539.094724729357,-0.10019836038127096,1188.4882301383407
2012,4047592450.8500004,2078784351444.2737,513.5853909915575,-0.14277592471261688,1132.2503529799876
2013,4065838573.14,2097522901485.9612,515.8893703608278,-0.13893035858292058,1137.329705897481
2014,4104659454.5600004,2093933142293.8647,510.13565570406723,-0.1485338691434266,1124.6450665651867
2015,4091519853.6800003,1969343403158.8062,481.3231937240966,-0.19662467645756848,1061.1251128841434
2016,4095208935.5300007,1856462719944.965,453.3255199358228,-0.24335552286465667,999.401441250515
2017,4034598385.3799996,1769793070019.3022,438.6540867196163,-0.2678435748858053,967.0567995820662
2018,2024559798.1500003,828900320590.02,409.4224933970592,-0.3166339532622762,902.6128289431568
