"fuel category","generation (M MWh)","hovertext","date"
"Coal",177.287111,"177 Million MWh<br>2,207 lb/MWh","2001-01-01"
"Coal",149.735483,"149 Million MWh<br>2,229 lb/MWh","2001-02-01"
"Coal",155.26901,"155 Million MWh<br>2,218 lb/MWh","2001-03-01"
"Coal",140.670652,"140 Million MWh<br>2,214 lb/MWh","2001-04-01"
"Coal",151.592915,"151 Million MWh<br>2,230 lb/MWh","2001-05-01"
"Coal",162.615804,"162 Million MWh<br>2,232 lb/MWh","2001-06-01"
"Coal",179.06041,"179 Million MWh<br>2,240 lb/MWh","2001-07-01"
"Coal",183.116073,"183 Million MWh<br>2,235 lb/MWh","2001-08-01"
"Coal",154.158318,"154 Million MWh<br>2,237 lb/MWh","2001-09-01"
"Coal",148.930815,"148 Million MWh<br>2,206 lb/MWh","2001-10-01"
"Coal",144.116999,"144 Million MWh<br>2,213 lb/MWh","2001-11-01"
"Coal",157.402349,"157 Million MWh<br>2,214 lb/MWh","2001-12-01"
"Coal",164.358019,"164 Million MWh<br>2,208 lb/MWh","2002-01-01"
"Coal",143.048821,"143 Million MWh<br>2,216 lb/MWh","2002-02-01"
"Coal",151.485651,"151 Million MWh<br>2,215 lb/MWh","2002-03-01"
"Coal",142.304593,"142 Million MWh<br>2,221 lb/MWh","2002-04-01"
"Coal",151.406399,"151 Million MWh<br>2,233 lb/MWh","2002-05-01"
"Coal",164.667695,"164 Million MWh<br>2,247 lb/MWh","2002-06-01"
"Coal",183.194702,"183 Million MWh<br>2,240 lb/MWh","2002-07-01"
"Coal",179.955446,"179 Million MWh<br>2,255 lb/MWh","2002-08-01"
"Coal",165.366307,"165 Million MWh<br>2,236 lb/MWh","2002-09-01"
"Coal",159.099296,"159 Million MWh<br>2,227 lb/MWh","2002-10-01"
"Coal",156.053653,"156 Million MWh<br>2,216 lb/MWh","2002-11-01"
"Coal",172.189764,"172 Million MWh<br>2,213 lb/MWh","2002-12-01"
"Coal",181.313152,"181 Million MWh<br>2,195 lb/MWh","2003-01-01"
"Coal",156.982484,"156 Million MWh<br>2,204 lb/MWh","2003-02-01"
"Coal",155.001775,"155 Million MWh<br>2,210 lb/MWh","2003-03-01"
"Coal",141.95998,"141 Million MWh<br>2,189 lb/MWh","2003-04-01"
"Coal",150.262975,"150 Million MWh<br>2,221 lb/MWh","2003-05-01"
"Coal",162.284629,"162 Million MWh<br>2,221 lb/MWh","2003-06-01"
"Coal",181.852319,"181 Million MWh<br>2,231 lb/MWh","2003-07-01"
"Coal",185.331825,"185 Million MWh<br>2,216 lb/MWh","2003-08-01"
"Coal",164.91,"164 Million MWh<br>2,210 lb/MWh","2003-09-01"
