"index (g/kwh)","index (lb/mwh)","final co2 (million mt)","Imperial hovertext","SI hovertext","Emissions hovertext","year","date"
645.4177906410597,1422.88806124728,214.59103191964488,"1,423 lb/MWh <br>↑ 7.7% from 2005","645 kg/MWh <br>↑ 7.7% from 2005","215 Million<br>Metric Tonnes",2001,"2001-01-01"
635.9612380564803,1402.0401454193163,179.93899925834646,"1,402 lb/MWh <br>↑ 6.1% from 2005","636 kg/MWh <br>↑ 6.1% from 2005","180 Million<br>Metric Tonnes",2001,"2001-02-01"
627.5612010840113,1383.5214239098113,188.7117605602989,"1,384 lb/MWh <br>↑ 4.7% from 2005","628 kg/MWh <br>↑ 4.7% from 2005","189 Million<br>Metric Tonnes",2001,"2001-03-01"
627.4483730966325,1383.2726833288361,174.4796533211478,"1,383 lb/MWh <br>↑ 4.7% from 2005","627 kg/MWh <br>↑ 4.7% from 2005","174 Million<br>Metric Tonnes",2001,"2001-04-01"
628.3102058890646,1385.1726799030316,188.7982333029063,"1,385 lb/MWh <br>↑ 4.9% from 2005","628 kg/MWh <br>↑ 4.9% from 2005","189 Million<br>Metric Tonnes",2001,"2001-05-01"
624.913541569454,1377.6843937440185,204.78009814782564,"1,378 lb/MWh <br>↑ 4.3% from 2005","625 kg/MWh <br>↑ 4.3% from 2005","205 Million<br>Metric Tonnes",2001,"2001-06-01"
641.5324991256715,1414.3225475724555,229.40534397555678,"1,414 lb/MWh <br>↑ 7.1% from 2005","642 kg/MWh <br>↑ 7.1% from 2005","229 Million<br>Metric Tonnes",2001,"2001-07-01"
644.2571092430502,1420.3292230372288,238.68774975250284,"1,420 lb/MWh <br>↑ 7.5% from 2005","644 kg/MWh <br>↑ 7.5% from 2005","239 Million<br>Metric Tonnes",2001,"2001-08-01"
630.6392629477958,1390.307319094711,193.56139509922767,"1,390 lb/MWh <br>↑ 5.3% from 2005","631 kg/MWh <br>↑ 5.3% from 2005","194 Million<br>Metric Tonnes",2001,"2001-09-01"
620.4144445746149,1367.765684509196,182.85481813409203,"1,368 lb/MWh <br>↑ 3.6% from 2005","620 kg/MWh <br>↑ 3.6% from 2005","183 Million<br>Metric Tonnes",2001,"2001-10-01"
614.9831045473197,1355.7917522850212,171.52021707898245,"1,356 lb/MWh <br>↑ 2.6% from 2005","615 kg/MWh <br>↑ 2.6% from 2005","172 Million<br>Metric Tonnes",2001,"2001-11-01"
610.5825562679548,1346.0903035483334,186.53072888681945,"1,346 lb/MWh <br>↑ 1.9% from 2005","611 kg/MWh <br>↑ 1.9% from 2005","187 Million<br>Metric Tonnes",2001,"2001-12-01"
605.7871186440766,1335.5182817627312,193.81704945335017,"1,336 lb/MWh <br>↑ 1.1% from 2005","606 kg/MWh <br>↑ 1.1% from 2005","194 Million<br>Metric Tonnes",2002,"2002-01-01"
602.1327650721394,1327.4618938780384,169.6936477491384,"1,327 lb/MWh <br>↑ 0.5% from 2005","602 kg/MWh <br>↑ 0.5% from 2005","170 Million<br>Metric Tonnes",2002,"2002-02-01"
608.3778671424272,1341.2298459021954,184.05718772730106,"1,341 lb/MWh <br>↑ 1.5% from 2005","608 kg/MWh <br>↑ 1.5% from 2005","184 Million<br>Metric Tonnes",2002,"2002-03-01"
601.1365176413777,1325.2655667921815,174.2245403132801,"1,325 lb/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005","174 Million<br>Metric Tonnes",2002,"2002-04-01"
602.3432399222356,1327.9259067325604,185.32606596954352,"1,328 lb/MWh <br>↑ 0.5% from 2005","602 kg/MWh <br>↑ 0.5% from 2005","185 Million<br>Metric Tonnes",2002,"2002-05-01"
607.8548205579867,1340.0767374021375,207.27382184420125,"1,340 lb/MWh <br>↑ 1.5% from 2005","608 kg/MWh <br>↑ 1.5% from 2005","207 Million<br>Metric Tonnes",2002,"2002-06-01"
622.5691871893209,1372.5160300775772,237.47327200747628,"1,373 lb/MWh <br>↑ 3.9% from 2005","623 kg/MWh <br>↑ 3.9% from 2005","237 Million<br>Metric Tonnes",2002,"2002-07-01"
626.5244855711438,1381.235880890144,234.6334831253665,"1,381 lb/MWh <br>↑ 4.6% from 2005","627 kg/MWh <br>↑ 4.6% from 2005","235 Million<br>Metric Tonnes",2002,"2002-08-01"
629.1075519996142,1386.9305091383496,208.4084026261557,"1,387 lb/MWh <br>↑ 5.0% from 2005","629 kg/MWh <br>↑ 5.0% from 2005","208 Million<br>Metric Tonnes",2002,"2002-09-01"
631.9197986295259,1393.130388058653,194.03730979709698,"1,393 lb/MWh <br>↑ 5.5% from 2005","632 kg/MWh <br>↑ 5.5% from 2005","194 Million<br>Metric Tonnes",2002,"2002-10-01"
619.48439790877,1365.7153036296745,183.54649764754888,"1,366 lb/MWh <br>↑ 3.4% from 2005","619 kg/MWh <br>↑ 3.4% from 2005","184 Million<br>Metric Tonnes",2002,"2002-11-01"
620.0314618515774,1366.9213607979875,201.40489540328656,"1,367 lb/MWh <br>↑ 3.5% from 2005","620 kg/MWh <br>↑ 3.5% from 2005","201 Million<br>Metric Tonnes",2002,"2002-12-01"
631.5223265580241,1392.2541211298199,215.96735605030705,"1,392 lb/MWh <br>↑ 5.4% from 2005","632 kg/MWh <br>↑ 5.4% from 2005","216 Million<br>Metric Tonnes",2003,"2003-01-01"
625.907064507855,1379.8747144140173,187.2940698567852,"1,380 lb/MWh <br>↑ 4.5% from 2005","626 kg/MWh <br>↑ 4.5% from 2005","187 Million<br>Metric Tonnes",2003,"2003-02-01"
614.4914194808199,1354.7077833874155,186.99230389050265,"1,355 lb/MWh <br>↑ 2.6% from 2005","614 kg/MWh <br>↑ 2.6% from 2005","187 Million<br>Metric Tonnes",2003,"2003-03-01"
595.9775024238124,1313.892001843537,170.30351068460615,"1,314 lb/MWh <br>↓ 0.5% from 2005","596 kg/MWh <br>↓ 0.5% from 2005","170 Million<br>Metric Tonnes",2003,"2003-04-01"
596.0351250322435,1314.019036646084,183.3065949694461,"1,314 lb/MWh <br>↓ 0.5% from 2005","596 kg/MWh <br>↓ 0.5% from 2005","183 Million<br>Metric Tonnes",2003,"2003-05-01"
609.0849664430376,1342.7887170203207,200.20022533448804,"1,343 lb/MWh <br>↑ 1.7% from 2005","609 kg/MWh <br>↑ 1.7% from 2005","200 Million<br>Metric Tonnes",2003,"2003-06-01"
621.7056234630445,1370.612217486628,232.7574531968779,"1,371 lb/MWh <br>↑ 3.8% from 2005","622 kg/MWh <br>↑ 3.8% from 2005","233 Million<br>Metric Tonnes",2003,"2003-07-01"
623.9303614374975,1375.5168748251072,238.2114676910065,"1,376 lb/MWh <br>↑ 4.1% from 2005","624 kg/MWh <br>↑ 4.1% from 2005","238 Million<br>Metric Tonnes",2003,"2003-08-01"
623.9675086432285,1375.5987695548615,201.62645347632449,"1,376 lb/MWh <br>↑ 4.1% from 2005","624 kg/MWh <br>↑ 4.1% from 2005","202 Million<br>Metric Tonnes",2003,"2003-09-01"
629.5036804893658,1387.8038140068554,193.09494413286305,"1,388 lb/MWh <br>↑ 5.1% from 2005","630 kg/MWh <br>↑ 5.1% from 2005","193 Million<br>Metric Tonnes",2003,"2003-10-01"
624.4991270442492,1376.770775481752,186.01790067448295,"1,377 lb/MWh <br>↑ 4.2% from 2005","624 kg/MWh <br>↑ 4.2% from 2005","186 Million<br>Metric Tonnes",2003,"2003-11-01"
618.9625781946403,1364.564899887904,205.2982742112701,"1,365 lb/MWh <br>↑ 3.3% from 2005","619 kg/MWh <br>↑ 3.3% from 2005","205 Million<br>Metric Tonnes",2003,"2003-12-01"
617.1839850633646,1360.6438134706934,213.87264723367048,"1,361 lb/MWh <br>↑ 3.0% from 2005","617 kg/MWh <br>↑ 3.0% from 2005","214 Million<br>Metric Tonnes",2004,"2004-01-01"
606.5527148936693,1337.2061152545832,190.6262229891738,"1,337 lb/MWh <br>↑ 1.2% from 2005","607 kg/MWh <br>↑ 1.2% from 2005","191 Million<br>Metric Tonnes",2004,"2004-02-01"
592.9126828153055,1307.1353005346225,183.0982826085954,"1,307 lb/MWh <br>↓ 1.0% from 2005","593 kg/MWh <br>↓ 1.0% from 2005","183 Million<br>Metric Tonnes",2004,"2004-03-01"
585.7379631779831,1291.3179136221818,170.1923020541491,"1,291 lb/MWh <br>↓ 2.2% from 2005","586 kg/MWh <br>↓ 2.2% from 2005","170 Million<br>Metric Tonnes",2004,"2004-04-01"
591.1400781312245,1303.2274162480976,193.52601393002442,"1,303 lb/MWh <br>↓ 1.3% from 2005","591 kg/MWh <br>↓ 1.3% from 2005","194 Million<br>Metric Tonnes",2004,"2004-05-01"
594.6194762467834,1310.8980973336588,205.19064951054057,"1,311 lb/MWh <br>↓ 0.8% from 2005","595 kg/MWh <br>↓ 0.8% from 2005","205 Million<br>Metric Tonnes",2004,"2004-06-01"
600.788265988492,1324.4978111982293,226.69544669093273,"1,324 lb/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005","227 Million<br>Metric Tonnes",2004,"2004-07-01"
602.6087411732183,1328.511230790477,222.02180932059835,"1,329 lb/MWh <br>↑ 0.6% from 2005","603 kg/MWh <br>↑ 0.6% from 2005","222 Million<br>Metric Tonnes",2004,"2004-08-01"
599.0494008927295,1320.6643092081115,201.05367688791236,"1,321 lb/MWh <br>↓ 0.0% from 2005","599 kg/MWh <br>↓ 0.0% from 2005","201 Million<br>Metric Tonnes",2004,"2004-09-01"
602.6002502108289,1328.4925116147936,188.28296451639787,"1,328 lb/MWh <br>↑ 0.6% from 2005","603 kg/MWh <br>↑ 0.6% from 2005","188 Million<br>Metric Tonnes",2004,"2004-10-01"
607.6755741433975,1339.6815707565345,183.5799784804809,"1,340 lb/MWh <br>↑ 1.4% from 2005","608 kg/MWh <br>↑ 1.4% from 2005","184 Million<br>Metric Tonnes",2004,"2004-11-01"
603.0987205333925,1329.5914392879172,206.22592461580868,"1,330 lb/MWh <br>↑ 0.7% from 2005","603 kg/MWh <br>↑ 0.7% from 2005","206 Million<br>Metric Tonnes",2004,"2004-12-01"
605.931510304614,1335.836607617552,207.90683228010312,"1,336 lb/MWh <br>↑ 1.1% from 2005","606 kg/MWh <br>↑ 1.1% from 2005","208 Million<br>Metric Tonnes",2005,"2005-01-01"
600.0763053601049,1322.9282227968874,179.12283754767148,"1,323 lb/MWh <br>↑ 0.2% from 2005","600 kg/MWh <br>↑ 0.2% from 2005","179 Million<br>Metric Tonnes",2005,"2005-02-01"
599.422355430227,1321.4865247814785,190.29224354058212,"1,321 lb/MWh <br>↑ 0.0% from 2005","599 kg/MWh <br>↑ 0.0% from 2005","190 Million<br>Metric Tonnes",2005,"2005-03-01"
581.0128568420413,1280.9009441939638,168.2398252498783,"1,281 lb/MWh <br>↓ 3.0% from 2005","581 kg/MWh <br>↓ 3.0% from 2005","168 Million<br>Metric Tonnes",2005,"2005-04-01"
577.4428733085448,1273.030558496018,181.93072225723566,"1,273 lb/MWh <br>↓ 3.6% from 2005","577 kg/MWh <br>↓ 3.6% from 2005","182 Million<br>Metric Tonnes",2005,"2005-05-01"
594.9209399293755,1311.5627041683015,216.33068495970852,"1,312 lb/MWh <br>↓ 0.7% from 2005","595 kg/MWh <br>↓ 0.7% from 2005","216 Million<br>Metric Tonnes",2005,"2005-06-01"
598.5894270877732,1319.6502509577049,240.74270432305374,"1,320 lb/MWh <br>↓ 0.1% from 2005","599 kg/MWh <br>↓ 0.1% from 2005","241 Million<br>Metric Tonnes",2005,"2005-07-01"
603.8745322206659,1331.3017937336801,244.48790652529584,"1,331 lb/MWh <br>↑ 0.8% from 2005","604 kg/MWh <br>↑ 0.8% from 2005","244 Million<br>Metric Tonnes",2005,"2005-08-01"
609.4373311936619,1343.565540349547,213.43338046403878,"1,344 lb/MWh <br>↑ 1.7% from 2005","609 kg/MWh <br>↑ 1.7% from 2005","213 Million<br>Metric Tonnes",2005,"2005-09-01"
612.4977463248503,1350.312531547765,193.78739979814867,"1,350 lb/MWh <br>↑ 2.2% from 2005","612 kg/MWh <br>↑ 2.2% from 2005","194 Million<br>Metric Tonnes",2005,"2005-10-01"
600.8623034417068,1324.6610341675864,183.93310419322478,"1,325 lb/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005","184 Million<br>Metric Tonnes",2005,"2005-11-01"
601.4626071793139,1325.9844637875153,209.3668970685313,"1,326 lb/MWh <br>↑ 0.4% from 2005","601 kg/MWh <br>↑ 0.4% from 2005","209 Million<br>Metric Tonnes",2005,"2005-12-01"
582.6614729238357,1284.5354832078885,191.49483161740224,"1,285 lb/MWh <br>↓ 2.7% from 2005","583 kg/MWh <br>↓ 2.7% from 2005","191 Million<br>Metric Tonnes",2006,"2006-01-01"
587.9988898041398,1296.302352462207,180.71084901753463,"1,296 lb/MWh <br>↓ 1.9% from 2005","588 kg/MWh <br>↓ 1.9% from 2005","181 Million<br>Metric Tonnes",2006,"2006-02-01"
584.533754558947,1288.6631153006545,186.3085188025314,"1,289 lb/MWh <br>↓ 2.4% from 2005","585 kg/MWh <br>↓ 2.4% from 2005","186 Million<br>Metric Tonnes",2006,"2006-03-01"
560.9629547613758,1236.6989300669293,167.08726313193813,"1,237 lb/MWh <br>↓ 6.4% from 2005","561 kg/MWh <br>↓ 6.4% from 2005","167 Million<br>Metric Tonnes",2006,"2006-04-01"
566.7459188801555,1249.4480527631908,187.37405826621546,"1,249 lb/MWh <br>↓ 5.4% from 2005","567 kg/MWh <br>↓ 5.4% from 2005","187 Million<br>Metric Tonnes",2006,"2006-05-01"
573.6997109471131,1264.7783827540054,208.97359321754487,"1,265 lb/MWh <br>↓ 4.2% from 2005","574 kg/MWh <br>↓ 4.2% from 2005","209 Million<br>Metric Tonnes",2006,"2006-06-01"
591.0122347763235,1302.9455727878826,242.55038361249467,"1,303 lb/MWh <br>↓ 1.4% from 2005","591 kg/MWh <br>↓ 1.4% from 2005","243 Million<br>Metric Tonnes",2006,"2006-07-01"
596.6584532591228,1315.3932260550619,243.26647145556365,"1,315 lb/MWh <br>↓ 0.4% from 2005","597 kg/MWh <br>↓ 0.4% from 2005","243 Million<br>Metric Tonnes",2006,"2006-08-01"
590.40361325093,1301.6038057730004,196.04696588320533,"1,302 lb/MWh <br>↓ 1.5% from 2005","590 kg/MWh <br>↓ 1.5% from 2005","196 Million<br>Metric Tonnes",2006,"2006-09-01"
601.759479059769,1326.6389475351668,193.50571260656682,"1,327 lb/MWh <br>↑ 0.4% from 2005","602 kg/MWh <br>↑ 0.4% from 2005","194 Million<br>Metric Tonnes",2006,"2006-10-01"
596.8816717813593,1315.8853336091847,184.5316304926167,"1,316 lb/MWh <br>↓ 0.4% from 2005","597 kg/MWh <br>↓ 0.4% from 2005","185 Million<br>Metric Tonnes",2006,"2006-11-01"
589.5050990214431,1299.6229413026736,198.2391024460808,"1,300 lb/MWh <br>↓ 1.6% from 2005","590 kg/MWh <br>↓ 1.6% from 2005","198 Million<br>Metric Tonnes",2006,"2006-12-01"
578.0882752401692,1274.4534115944773,204.3724803615788,"1,274 lb/MWh <br>↓ 3.5% from 2005","578 kg/MWh <br>↓ 3.5% from 2005","204 Million<br>Metric Tonnes",2007,"2007-01-01"
