fuel category,year,quarter,total fuel (mmbtu),generation (mwh),elec fuel (mmbtu),elec fuel fossil co2 (kg),adjusted co2 (kg),adjusted index (g/kwh),adjusted index (lb/mwh),year_quarter
Coal,2001,1,5094000000.0,482291604.0,4976968000.0,477818217812.25,485144988727.48145,1005.9163060352206,2217.6430882852474,2001 Q1
Coal,2001,2,4822767000.0,454879371.0,4716978000.0,452244440346.75,459335177302.02405,1009.7955778742581,2226.1953309815894,2001 Q2
Coal,2001,3,5521643000.0,516334801.0,5407625000.0,518108028075.75,524057447380.979,1014.9566644859543,2237.573462525735,2001 Q3
Coal,2001,4,4793881000.0,450450163.0,4687877000.0,449004148980.0,451860376746.95593,1003.1306765160521,2211.5018894472887,2001 Q4
Coal,2002,1,4826986000.0,458892491.0,4717666000.0,450661692718.5,460728324025.5172,1004.0005732530437,2213.41966379366,2002 Q1
Coal,2002,2,4849085000.0,458378687.0,4748902000.0,453903533517.0,464687391850.2564,1013.7630850412039,2234.9420972818384,2002 Q2
Coal,2002,3,5613789000.0,528516455.0,5506145000.0,526454087107.5,538077411624.54663,1018.0901777685364,2244.4816059085156,2002 Q3
Coal,2002,4,5128112000.0,487342713.0,5024186000.0,480204958308.0,490507992068.98535,1006.494975680462,2218.9188233851464,2002 Q4
Coal,2003,1,5165460000.0,493297411.0,5055026000.0,483223318222.5,492962300976.22217,999.3206734592454,2203.1023567082525,2003 Q1
Coal,2003,2,4795753000.0,454507584.0,4698518000.0,448866408431.25,455901671831.87726,1003.0672487785754,2211.362056657247,2003 Q2
Coal,2003,3,5631662000.0,532094144.0,5525646000.0,527749960881.0,535784448174.2747,1006.9354346705134,2219.889859274614,2003 Q3
Coal,2003,4,5190703000.0,493837607.0,5087694000.0,486366904836.0,493891816110.82416,1000.1097711273013,2204.8420014272488,2003 Q4
Coal,2004,1,5232259580.0,496448931.9000001,5084312070.0,485501254638.4877,494398477008.14435,995.8697566655884,2195.4944655449563,2004 Q1
Coal,2004,2,4940395610.0,466129239.67999995,4805591100.0,458909902281.5473,464373791680.3965,996.2339886663008,2196.297451413727,2004 Q2
Coal,2004,3,5562142260.0,523926086.56000006,5420550470.0,517586612931.76495,522607029796.1205,997.4823609709143,2199.0496129964777,2004 Q3
Coal,2004,4,5205450270.0,491796291.07,5065297260.0,483686649399.2773,488713973010.61304,993.732530896724,2190.782737614918,2004 Q4
Coal,2005,1,5245877300.0,496444621.26,5103178640.0,486297307886.04,492305020532.8036,991.661505533709,2186.216955099615,2005 Q1
Coal,2005,2,4989728090.0,471908197.79999995,4860198510.0,463411697828.9928,466939394604.9829,989.4708267027756,2181.3873845489393,2005 Q2
Coal,2005,3,5821763560.0,545320727.15,5682891410.0,541497846488.10754,545879293596.03076,1001.0242897770455,2206.8581492424746,2005 Q3
Coal,2005,4,5293012970.0,499199499.65,5155447570.0,491190127274.87976,494536203573.0948,990.6584520213366,2184.005623326239,2005 Q4
Coal,2006,1,5161877180.0,489177384.76,5024705380.0,478608987554.6848,484579507605.65735,990.6007977932209,2183.878518814935,2006 Q1
Coal,2006,2,4955862440.0,468129466.9500001,4828063970.0,459878384378.1074,463273403384.2133,989.6266654662321,2181.7309466868555,2006 Q2
Coal,2006,3,5727969790.0,538866155.39,5593580780.0,532794716375.6699,538379796525.95447,999.0974403213474,2202.6102169324427,2006 Q3
Coal,2006,4,5214262460.0,494338127.5199999,5081060390.0,483976725432.34515,488079700306.00085,987.3397845207764,2176.689288954504,2006 Q4
Coal,2007,1,5272308770.0,499153324.2099999,5132608740.0,488880984199.5,492597300588.1903,986.865711788686,2175.6441482093373,2007 Q1
Coal,2007,2,5052294780.0,477275706.52,4926583510.0,469257086852.25,475165539245.32306,995.5787247373997,2194.8528565560714,2007 Q2
Coal,2007,3,5794495680.0,544579876.9099998,5668595090.0,539933689656.75,545076116579.6789,1000.9112339451373,2206.6089063554496,2007 Q3
Coal,2007,4,5244489090.0,495446676.29999995,5114083790.0,487116488712.75,491143129378.0228,991.3138040321189,2185.4504123692095,2007 Q4
Coal,2008,1,5389915330.0,510285102.1700001,5255439770.0,500580639521.25,503348531024.16254,986.406479208702,2174.6317240635044,2008 Q1
Coal,2008,2,5020751940.0,472942204.37,4898858080.0,466616233739.25,471960381489.1466,997.9240108584488,2200.0232743385363,2008 Q2
Coal,2008,3,5628721330.0,528666296.65,5504185060.0,524273631918.0,530714333374.48486,1003.8739687728586,2213.140551556644,2008 Q3
Coal,2008,4,5012317880.0,473907643.7500001,4890127320.0,465784636183.5,469087275747.78955,989.828465386067,2182.1758347901236,2008 Q4
Coal,2009,1,4758259220.0,448371262.9599999,4631994200.0,441197450598.0,444342734926.8371,991.0151957407622,2184.7921005300846,2009 Q1
Coal,2009,2,4335292540.0,405694801.78999996,4228590290.0,402773226741.75,406482346105.8364,1001.9412235807846,2208.879621506198,2009 Q2
Coal,2009,3,4893771820.0,458639000.15999997,4781494830.0,455437392082.5,461122375887.77466,1005.4146632251255,2216.537166546112,2009 Q3
Coal,2009,4,4715960630.0,443199188.24999994,4598531470.0,438010132709.25,441535850163.75226,996.2469739784148,2196.3260788328134,2009 Q4
Coal,2010,1,4997831820.0,470769953.2600001,4870900660.0,463953294246.75,466893727035.9475,991.7661987618147,2186.4477617902967,2010 Q1
Coal,2010,2,4654206270.0,435715867.9199999,4529106620.0,431397409936.5,437773141611.33057,1004.7215946051072,2215.0092274664194,2010 Q2
Coal,2010,3,5411555880.0,506091490.9200001,5292689750.0,504128694972.75,511326393134.76135,1010.3437862692475,2227.403911209183,2010 Q3
Coal,2010,4,4623652380.0,434712966.66999996,4503618070.0,428969628787.5,436602052966.85156,1004.3455945455744,2214.1802977351736,2010 Q4
