"index (g/kwh)","index (lb/mwh)","final co2 (million mt)","Imperial hovertext","SI hovertext","Emissions hovertext","year","quarter","year_quarter"
636.6360386403496,1403.527810786515,583.2417917382903,"1,404 lb/MWh <br>↑ 6.3% from 2005","637 kg/MWh <br>↑ 6.3% from 2005","583 Million<br>Metric Tonnes",2001,1,"2001 Q1"
626.8175595766568,1381.881991842697,568.0579847718798,"1,382 lb/MWh <br>↑ 4.6% from 2005","627 kg/MWh <br>↑ 4.6% from 2005","568 Million<br>Metric Tonnes",2001,2,"2001 Q2"
639.2774146096159,1409.3509882483593,661.6544888272873,"1,409 lb/MWh <br>↑ 6.7% from 2005","639 kg/MWh <br>↑ 6.7% from 2005","662 Million<br>Metric Tonnes",2001,3,"2001 Q3"
615.2747889051641,1356.4347996203246,540.9057640998939,"1,356 lb/MWh <br>↑ 2.7% from 2005","615 kg/MWh <br>↑ 2.7% from 2005","541 Million<br>Metric Tonnes",2001,4,"2001 Q4"
605.5150028095612,1334.918375193959,547.5678849297896,"1,335 lb/MWh <br>↑ 1.1% from 2005","606 kg/MWh <br>↑ 1.1% from 2005","548 Million<br>Metric Tonnes",2002,1,"2002 Q1"
603.9731598766048,1331.5192282639628,566.8244281270249,"1,332 lb/MWh <br>↑ 0.8% from 2005","604 kg/MWh <br>↑ 0.8% from 2005","567 Million<br>Metric Tonnes",2002,2,"2002 Q2"
625.9238663963915,1379.9117558574846,680.5151577589985,"1,380 lb/MWh <br>↑ 4.5% from 2005","626 kg/MWh <br>↑ 4.5% from 2005","681 Million<br>Metric Tonnes",2002,3,"2002 Q3"
623.7897270412112,1375.2068322350547,578.9887028479324,"1,375 lb/MWh <br>↑ 4.1% from 2005","624 kg/MWh <br>↑ 4.1% from 2005","579 Million<br>Metric Tonnes",2002,4,"2002 Q4"
624.26402373207,1376.2524667197213,590.2537297975948,"1,376 lb/MWh <br>↑ 4.2% from 2005","624 kg/MWh <br>↑ 4.2% from 2005","590 Million<br>Metric Tonnes",2003,1,"2003 Q1"
600.6695526783838,1324.236095834765,553.8103309885403,"1,324 lb/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005","554 Million<br>Metric Tonnes",2003,2,"2003 Q2"
623.1697799791747,1373.8400969420884,672.5953743642089,"1,374 lb/MWh <br>↑ 4.0% from 2005","623 kg/MWh <br>↑ 4.0% from 2005","673 Million<br>Metric Tonnes",2003,3,"2003 Q3"
624.17736266441,1376.0614137299585,584.4111190186161,"1,376 lb/MWh <br>↑ 4.2% from 2005","624 kg/MWh <br>↑ 4.2% from 2005","584 Million<br>Metric Tonnes",2003,4,"2003 Q4"
606.0080193320238,1336.0052794193793,587.5971528314396,"1,336 lb/MWh <br>↑ 1.1% from 2005","606 kg/MWh <br>↑ 1.1% from 2005","588 Million<br>Metric Tonnes",2004,1,"2004 Q1"
590.7569341773847,1302.3827370874624,568.908965494714,"1,302 lb/MWh <br>↓ 1.4% from 2005","591 kg/MWh <br>↓ 1.4% from 2005","569 Million<br>Metric Tonnes",2004,2,"2004 Q2"
600.8688346150078,1324.6754327922458,649.7709328994433,"1,325 lb/MWh <br>↑ 0.3% from 2005","601 kg/MWh <br>↑ 0.3% from 2005","650 Million<br>Metric Tonnes",2004,3,"2004 Q3"
604.3814525434483,1332.4193502772862,578.0888676126875,"1,332 lb/MWh <br>↑ 0.9% from 2005","604 kg/MWh <br>↑ 0.9% from 2005","578 Million<br>Metric Tonnes",2004,4,"2004 Q4"
601.954598972352,1327.0691088944473,577.3219133683567,"1,327 lb/MWh <br>↑ 0.5% from 2005","602 kg/MWh <br>↑ 0.5% from 2005","577 Million<br>Metric Tonnes",2005,1,"2005 Q1"
585.074408519055,1289.855041021109,566.5012324668224,"1,290 lb/MWh <br>↓ 2.3% from 2005","585 kg/MWh <br>↓ 2.3% from 2005","567 Million<br>Metric Tonnes",2005,2,"2005 Q2"
603.7212289017054,1330.9638212367,698.6639913123885,"1,331 lb/MWh <br>↑ 0.8% from 2005","604 kg/MWh <br>↑ 0.8% from 2005","699 Million<br>Metric Tonnes",2005,3,"2005 Q3"
604.8704280139674,1333.4973455995923,587.0874010599049,"1,333 lb/MWh <br>↑ 1.0% from 2005","605 kg/MWh <br>↑ 1.0% from 2005","587 Million<br>Metric Tonnes",2005,4,"2005 Q4"
585.0046911052773,1289.701342010694,558.5141994374683,"1,290 lb/MWh <br>↓ 2.4% from 2005","585 kg/MWh <br>↓ 2.4% from 2005","559 Million<br>Metric Tonnes",2006,1,"2006 Q1"
567.5623149933062,1251.247879634243,563.4349146156984,"1,251 lb/MWh <br>↓ 5.3% from 2005","568 kg/MWh <br>↓ 5.3% from 2005","563 Million<br>Metric Tonnes",2006,2,"2006 Q2"
592.8380105180316,1306.9706779880526,681.8638209512635,"1,307 lb/MWh <br>↓ 1.0% from 2005","593 kg/MWh <br>↓ 1.0% from 2005","682 Million<br>Metric Tonnes",2006,3,"2006 Q3"
595.9384947578824,1313.8060055432275,576.2764455452643,"1,314 lb/MWh <br>↓ 0.5% from 2005","596 kg/MWh <br>↓ 0.5% from 2005","576 Million<br>Metric Tonnes",2006,4,"2006 Q4"
584.0264499201936,1287.544711494059,582.4091684071199,"1,288 lb/MWh <br>↓ 2.5% from 2005","584 kg/MWh <br>↓ 2.5% from 2005","582 Million<br>Metric Tonnes",2007,1,"2007 Q1"
580.5663087087021,1279.9164841792046,578.2865353542281,"1,280 lb/MWh <br>↓ 3.1% from 2005","581 kg/MWh <br>↓ 3.1% from 2005","578 Million<br>Metric Tonnes",2007,2,"2007 Q2"
593.8615321056583,1309.2271336801343,695.0315422903371,"1,309 lb/MWh <br>↓ 0.9% from 2005","594 kg/MWh <br>↓ 0.9% from 2005","695 Million<br>Metric Tonnes",2007,3,"2007 Q3"
593.0999745764217,1307.5482039511792,588.9517633862301,"1,308 lb/MWh <br>↓ 1.0% from 2005","593 kg/MWh <br>↓ 1.0% from 2005","589 Million<br>Metric Tonnes",2007,4,"2007 Q4"
586.1888681458147,1292.3119787142634,593.6505953330935,"1,292 lb/MWh <br>↓ 2.2% from 2005","586 kg/MWh <br>↓ 2.2% from 2005","594 Million<br>Metric Tonnes",2008,1,"2008 Q1"
570.4164829572093,1257.5401783274635,572.7944017820679,"1,258 lb/MWh <br>↓ 4.8% from 2005","570 kg/MWh <br>↓ 4.8% from 2005","573 Million<br>Metric Tonnes",2008,2,"2008 Q2"
585.95824051323,1291.8035370354671,662.0908487028327,"1,292 lb/MWh <br>↓ 2.2% from 2005","586 kg/MWh <br>↓ 2.2% from 2005","662 Million<br>Metric Tonnes",2008,3,"2008 Q3"
577.6090232913779,1273.3968527481718,561.7184783287694,"1,273 lb/MWh <br>↓ 3.6% from 2005","578 kg/MWh <br>↓ 3.6% from 2005","562 Million<br>Metric Tonnes",2008,4,"2008 Q4"
554.9440592647165,1223.429673054994,536.3391825156865,"1,223 lb/MWh <br>↓ 7.4% from 2005","555 kg/MWh <br>↓ 7.4% from 2005","536 Million<br>Metric Tonnes",2009,1,"2009 Q1"
532.6312441174675,1174.238840781369,505.19684061620296,"1,174 lb/MWh <br>↓ 11.1% from 2005","533 kg/MWh <br>↓ 11.1% from 2005","505 Million<br>Metric Tonnes",2009,2,"2009 Q2"
554.6013422341828,1222.6741190894793,599.6053116096808,"1,223 lb/MWh <br>↓ 7.4% from 2005","555 kg/MWh <br>↓ 7.4% from 2005","600 Million<br>Metric Tonnes",2009,3,"2009 Q3"
558.6712128373102,1231.6465558211341,533.0739596923719,"1,232 lb/MWh <br>↓ 6.8% from 2005","559 kg/MWh <br>↓ 6.8% from 2005","533 Million<br>Metric Tonnes",2009,4,"2009 Q4"
562.6689288076568,1240.4599204493602,558.6489679971271,"1,240 lb/MWh <br>↓ 6.1% from 2005","563 kg/MWh <br>↓ 6.1% from 2005","559 Million<br>Metric Tonnes",2010,1,"2010 Q1"
548.9490367770137,1210.2130464786044,544.2238764734291,"1,210 lb/MWh <br>↓ 8.4% from 2005","549 kg/MWh <br>↓ 8.4% from 2005","544 Million<br>Metric Tonnes",2010,2,"2010 Q2"
569.9879844838654,1256.5955105931293,663.7869616221467,"1,257 lb/MWh <br>↓ 4.9% from 2005","570 kg/MWh <br>↓ 4.9% from 2005","664 Million<br>Metric Tonnes",2010,3,"2010 Q3"
549.7190502837375,1211.9106182555274,536.548142163285,"1,212 lb/MWh <br>↓ 8.2% from 2005","550 kg/MWh <br>↓ 8.2% from 2005","537 Million<br>Metric Tonnes",2010,4,"2010 Q4"
541.9455718390461,1194.7732076763612,539.0691986809526,"1,195 lb/MWh <br>↓ 9.5% from 2005","542 kg/MWh <br>↓ 9.5% from 2005","539 Million<br>Metric Tonnes",2011,1,"2011 Q1"
535.8892031753671,1181.4213373204145,532.5140552657051,"1,181 lb/MWh <br>↓ 10.6% from 2005","536 kg/MWh <br>↓ 10.6% from 2005","533 Million<br>Metric Tonnes",2011,2,"2011 Q2"
557.5767093124017,1229.2336133501205,648.46704595082,"1,229 lb/MWh <br>↓ 6.9% from 2005","558 kg/MWh <br>↓ 6.9% from 2005","648 Million<br>Metric Tonnes",2011,3,"2011 Q3"
516.8015226942927,1139.3406369318375,490.186394783644,"1,139 lb/MWh <br>↓ 13.7% from 2005","517 kg/MWh <br>↓ 13.7% from 2005","490 Million<br>Metric Tonnes",2011,4,"2011 Q4"
492.0749353443905,1084.8284024602433,471.39829538822,"1,085 lb/MWh <br>↓ 17.9% from 2005","492 kg/MWh <br>↓ 17.9% from 2005","471 Million<br>Metric Tonnes",2012,1,"2012 Q1"
496.1949341001026,1093.9113517170863,492.4869405218501,"1,094 lb/MWh <br>↓ 17.2% from 2005","496 kg/MWh <br>↓ 17.2% from 2005","492 Million<br>Metric Tonnes",2012,2,"2012 Q2"
539.4258908727793,1189.2183190181293,617.5782789287739,"1,189 lb/MWh <br>↓ 10.0% from 2005","539 kg/MWh <br>↓ 10.0% from 2005","618 Million<br>Metric Tonnes",2012,3,"2012 Q3"
522.2839616146973,1151.427221775762,497.3208366054297,"1,151 lb/MWh <br>↓ 12.8% from 2005","522 kg/MWh <br>↓ 12.8% from 2005","497 Million<br>Metric Tonnes",2012,4,"2012 Q4"
512.7109681014819,1130.322600276527,504.5335094540087,"1,130 lb/MWh <br>↓ 14.4% from 2005","513 kg/MWh <br>↓ 14.4% from 2005","505 Million<br>Metric Tonnes",2013,1,"2013 Q1"
502.34335620472234,1107.466163088931,491.43578734146337,"1,107 lb/MWh <br>↓ 16.2% from 2005","502 kg/MWh <br>↓ 16.2% from 2005","491 Million<br>Metric Tonnes",2013,2,"2013 Q2"
533.3820316409743,1175.8940269556924,597.9463968154462,"1,176 lb/MWh <br>↓ 11.0% from 2005","533 kg/MWh <br>↓ 11.0% from 2005","598 Million<br>Metric Tonnes",2013,3,"2013 Q3"
512.6011717231944,1130.0805431809545,503.6072078750429,"1,130 lb/MWh <br>↓ 14.4% from 2005","513 kg/MWh <br>↓ 14.4% from 2005","504 Million<br>Metric Tonnes",2013,4,"2013 Q4"
528.9355597887596,1166.0913351102995,547.7514464801089,"1,166 lb/MWh <br>↓ 11.7% from 2005","529 kg/MWh <br>↓ 11.7% from 2005","548 Million<br>Metric Tonnes",2014,1,"2014 Q1"
494.62864387534216,1090.4583082875797,486.3790672909601,"1,090 lb/MWh <br>↓ 17.4% from 2005","495 kg/MWh <br>↓ 17.4% from 2005","486 Million<br>Metric Tonnes",2014,2,"2014 Q2"
524.0952650427412,1155.4204213132273,583.4800326711539,"1,155 lb/MWh <br>↓ 12.5% from 2005","524 kg/MWh <br>↓ 12.5% from 2005","583 Million<br>Metric Tonnes",2014,3,"2014 Q3"
489.81425940625616,1079.8445162870323,476.3225958516415,"1,080 lb/MWh <br>↓ 18.2% from 2005","490 kg/MWh <br>↓ 18.2% from 2005","476 Million<br>Metric Tonnes",2014,4,"2014 Q4"
488.01865300025815,1075.8859224043692,498.6381496159981,"1,076 lb/MWh <br>↓ 18.5% from 2005","488 kg/MWh <br>↓ 18.5% from 2005","499 Million<br>Metric Tonnes",2015,1,"2015 Q1"
473.79931705212135,1044.5379743731066,465.57539279579686,"1,045 lb/MWh <br>↓ 20.9% from 2005","474 kg/MWh <br>↓ 20.9% from 2005","466 Million<br>Metric Tonnes",2015,2,"2015 Q2"
508.16804629863856,1120.3072748699783,582.8081401913123,"1,120 lb/MWh <br>↓ 15.2% from 2005","508 kg/MWh <br>↓ 15.2% from 2005","583 Million<br>Metric Tonnes",2015,3,"2015 Q3"
449.1656132623832,990.23051099825,422.3217205556989,"990 lb/MWh <br>↓ 25.0% from 2005","449 kg/MWh <br>↓ 25.0% from 2005","422 Million<br>Metric Tonnes",2015,4,"2015 Q4"
426.55383101002235,940.3805758446953,415.6353806958688,"940 lb/MWh <br>↓ 28.8% from 2005","427 kg/MWh <br>↓ 28.8% from 2005","416 Million<br>Metric Tonnes",2016,1,"2016 Q1"
431.68740819328247,951.6980601029107,424.29827021704943,"952 lb/MWh <br>↓ 27.9% from 2005","432 kg/MWh <br>↓ 27.9% from 2005","424 Million<br>Metric Tonnes",2016,2,"2016 Q2"
494.5728639791362,1090.3353359284038,582.9363807085783,"1,090 lb/MWh <br>↓ 17.5% from 2005","495 kg/MWh <br>↓ 17.5% from 2005","583 Million<br>Metric Tonnes",2016,3,"2016 Q3"
